pickup_date,trip_volume,avg_fare,avg_distance,avg_tip,trip_volume_7day_avg
2024-08-15,90757,19.984895600339367,3.531027028218209,3.552052073118327,80778.71428571429
2024-08-16,84180,19.879637562366355,3.6264398907103828,3.4526944642432884,81225.57142857143
2024-08-17,80250,19.67289781931464,3.5444742679127725,3.3355420560747664,81306.42857142857
2024-08-18,69876,20.99582503291545,4.03322757456065,3.583046968916366,81723.0
2024-08-19,75880,22.344015682656824,4.234089746968898,3.8658224828676855,82107.42857142857
2024-08-20,84664,20.61242310781442,3.745195478597751,3.6319678966266653,82285.0
2024-08-21,85528,20.02311652324385,3.61392994107193,3.5632575296978763,81590.71428571429
2024-08-22,86394,20.827615922402018,3.7489683311341064,3.6761198694353774,80967.42857142857
2024-08-23,81862,20.52710121912487,3.803540837018397,3.5884412792260143,80636.28571428571
2024-08-24,79145,20.05477819192621,3.7113520753048204,3.3596177901320363,80478.42857142857
2024-08-25,72189,21.841815373533365,4.300713405089418,3.737830694427129,80808.85714285714
2024-08-26,76254,21.063506176725156,4.072779657460592,3.615819760274871,80862.28571428571
2024-08-27,84234,20.025013415010566,3.6637884939573095,3.5471900895125485,80800.85714285714
2024-08-28,91959,20.039231722833,3.626727780858861,3.586091301558303,81719.57142857143
2024-08-29,88299,21.082717018312778,3.8555558953102524,3.728026364964496,81991.71428571429
2024-08-30,81406,21.205737046409354,3.9917522049971748,3.6819944475837163,81926.57142857143
2024-08-31,77780,20.86018243764464,3.9869526870660836,3.493154667009514,81731.57142857143
2024-09-01,72234,21.932919677714096,4.3285686795691785,3.6457814879419663,81738.0
2024-09-02,66125,24.069384650283556,5.059716597353497,4.162668128544423,80291.0
2024-09-03,91297,21.620739892877094,3.970337141417571,3.8842705674885263,81300.0
2024-09-04,103889,20.83959167958109,3.5490633272049976,3.8188888140226585,83004.28571428571
2024-09-05,110989,20.62174350611322,3.436736163043184,3.8143717845912657,86245.71428571429
2024-09-06,106260,20.249013928100887,3.4318127235083757,3.716409090909091,89796.28571428571
2024-09-07,101158,19.73295152138239,3.310026394353388,3.5006794321754087,93136.0
2024-09-08,88926,21.405253918988823,4.106728965656838,3.8356698828239213,95520.57142857143
2024-09-09,92719,21.040519095331053,3.78198201015973,3.866400953418393,99319.71428571429
2024-09-10,102017,20.487560896713294,3.3174219982944018,3.794696080065087,100851.14285714286
2024-09-11,102377,19.721873076960645,3.2678808716801626,3.7690354278793086,100635.14285714286
2024-09-12,115474,20.309633597173388,3.400925316521468,3.8617203872733254,101275.85714285714
2024-09-13,103484,19.77415600479301,3.3980021066058517,3.6628024622163813,100879.28571428571
